num_nodes,num_edges,branching_factor,solution_depth,heuristic_available,density,best_algorithm
50,277,11.08,1,1,0.2261,HILL
18,43,4.778,9,0,0.281,DFS
12,12,2.0,2,0,0.1818,BFS
48,101,4.208,9,0,0.0895,DFS
44,472,21.455,4,1,0.4989,HILL
10,20,4.0,7,1,0.4444,ASTAR
23,217,18.87,6,0,0.8577,DFS
16,60,7.5,6,1,0.5,ASTAR
39,587,30.103,2,1,0.7922,ASTAR
28,348,24.857,10,1,0.9206,ASTAR
14,18,2.571,4,1,0.1978,HILL
24,244,20.333,2,1,0.8841,ASTAR
50,796,31.84,3,1,0.6498,ASTAR
27,62,4.593,10,0,0.1766,DFS
25,107,8.56,8,1,0.3567,ASTAR
50,1189,47.56,4,1,0.9706,ASTAR
13,41,6.308,1,1,0.5256,HILL
14,40,5.714,10,1,0.4396,ASTAR
41,445,21.707,8,0,0.5427,DFS
25,299,23.92,5,1,0.9967,ASTAR
35,404,23.086,4,0,0.679,BFS
15,20,2.667,2,0,0.1905,BFS
37,646,34.919,2,1,0.97,ASTAR
39,579,29.692,5,0,0.7814,DFS
17,103,12.118,9,1,0.7574,ASTAR
31,87,5.613,5,1,0.1871,ASTAR
10,26,5.2,9,0,0.5778,DFS
16,95,11.875,5,0,0.7917,DFS
44,840,38.182,9,0,0.8879,DFS
41,59,2.878,2,1,0.072,HILL
29,150,10.345,1,0,0.3695,BFS
15,24,3.2,8,0,0.2286,DFS
44,827,37.591,3,0,0.8742,BFS
45,213,9.467,5,1,0.2152,ASTAR
44,816,37.091,4,1,0.8626,ASTAR
33,256,15.515,9,1,0.4848,ASTAR
24,39,3.25,6,0,0.1413,BFS
24,173,14.417,4,0,0.6268,BFS
50,169,6.76,4,0,0.138,BFS
31,66,4.258,9,0,0.1419,DFS
41,259,12.634,9,0,0.3159,DFS
46,635,27.609,8,0,0.6135,DFS
36,229,12.722,2,0,0.3635,BFS
32,247,15.438,7,1,0.498,ASTAR
13,24,3.692,1,1,0.3077,HILL
16,46,5.75,4,0,0.3833,BFS
18,125,13.889,3,1,0.817,ASTAR
14,69,9.857,9,0,0.7582,DFS
44,899,40.864,1,0,0.9503,BFS
25,109,8.72,7,1,0.3633,ASTAR
35,94,5.371,3,1,0.158,HILL
34,304,17.882,8,1,0.5419,ASTAR
45,721,32.044,8,0,0.7283,DFS
23,36,3.13,10,0,0.1423,DFS
13,18,2.769,10,1,0.2308,DFS
43,203,9.442,1,0,0.2248,BFS
14,89,12.714,2,0,0.978,BFS
46,297,12.913,10,0,0.287,DFS
36,613,34.056,9,1,0.973,ASTAR
23,193,16.783,6,0,0.7628,DFS
29,262,18.069,6,0,0.6453,DFS
49,252,10.286,2,0,0.2143,BFS
18,106,11.778,2,0,0.6928,BFS
20,131,13.1,9,1,0.6895,ASTAR
43,50,2.326,9,1,0.0554,DFS
16,32,4.0,5,0,0.2667,BFS
45,203,9.022,5,1,0.2051,ASTAR
31,134,8.645,5,1,0.2882,ASTAR
13,23,3.538,7,1,0.2949,ASTAR
31,424,27.355,3,1,0.9118,ASTAR
38,601,31.632,7,0,0.8549,DFS
19,157,16.526,1,1,0.9181,ASTAR
19,128,13.474,3,0,0.7485,BFS
12,33,5.5,4,0,0.5,BFS
32,430,26.875,9,1,0.8669,ASTAR
19,78,8.211,3,0,0.4561,BFS
11,21,3.818,6,1,0.3818,ASTAR
25,160,12.8,3,0,0.5333,BFS
12,65,10.833,8,0,0.9848,DFS
39,396,20.308,5,0,0.5344,DFS
22,123,11.182,6,1,0.5325,ASTAR
27,205,15.185,9,1,0.584,ASTAR
44,382,17.364,1,0,0.4038,BFS
26,116,8.923,10,1,0.3569,ASTAR
48,936,39.0,6,1,0.8298,ASTAR
42,159,7.571,7,0,0.1847,DFS
37,37,2.0,9,0,0.0556,DFS
14,55,7.857,10,1,0.6044,ASTAR
17,108,12.706,5,1,0.7941,ASTAR
30,235,15.667,5,0,0.5402,HILL
21,177,16.857,10,1,0.8429,ASTAR
10,29,5.8,5,0,0.6444,ASTAR
39,490,25.128,8,0,0.6613,DFS
20,187,18.7,2,1,0.9842,ASTAR
50,735,29.4,2,0,0.6,BFS
24,229,19.083,4,0,0.8297,BFS
25,267,21.36,10,0,0.89,DFS
50,447,17.88,7,1,0.3649,ASTAR
19,19,2.0,2,1,0.1111,HILL
43,517,24.047,1,0,0.5725,BFS
17,74,8.706,3,1,0.5441,HILL
45,653,29.022,6,1,0.6596,ASTAR
42,477,22.714,9,1,0.554,ASTAR
40,499,24.95,5,0,0.6397,DFS
27,292,21.63,8,0,0.8319,DFS
14,49,7.0,4,1,0.5385,HILL
44,125,5.682,3,0,0.1321,BFS
19,72,7.579,2,1,0.4211,HILL
44,520,23.636,7,0,0.5497,DFS
36,433,24.056,10,0,0.6873,DFS
46,434,18.87,8,0,0.4193,DFS
29,227,15.655,7,0,0.5591,DFS
27,249,18.444,8,0,0.7094,DFS
35,203,11.6,8,0,0.3412,DFS
44,70,3.182,7,0,0.074,DFS
37,174,9.405,8,0,0.2613,DFS
34,368,21.647,4,1,0.656,ASTAR
34,317,18.647,7,1,0.5651,ASTAR
40,58,2.9,9,0,0.0744,DFS
32,145,9.062,2,0,0.2923,BFS
25,126,10.08,1,0,0.42,BFS
40,724,36.2,2,0,0.9282,BFS
26,213,16.385,3,0,0.6554,BFS
20,98,9.8,2,0,0.5158,BFS
46,738,32.087,7,1,0.713,ASTAR
22,40,3.636,10,0,0.1732,DFS
29,378,26.069,10,0,0.931,DFS
46,846,36.783,1,1,0.8174,ASTAR
33,67,4.061,9,1,0.1269,DFS
36,536,29.778,2,1,0.8508,ASTAR
50,990,39.6,3,1,0.8082,ASTAR
43,708,32.93,5,1,0.7841,ASTAR
47,595,25.319,6,0,0.5504,DFS
15,49,6.533,8,0,0.4667,DFS
46,669,29.087,7,1,0.6464,ASTAR
30,122,8.133,8,0,0.2805,DFS
26,199,15.308,5,1,0.6123,ASTAR
43,237,11.023,2,0,0.2625,BFS
41,608,29.659,4,1,0.7415,ASTAR
41,498,24.293,1,0,0.6073,BFS
35,283,16.171,5,1,0.4756,ASTAR
43,394,18.326,7,1,0.4363,ASTAR
39,315,16.154,5,1,0.4251,ASTAR
22,101,9.182,2,0,0.4372,BFS
40,322,16.1,10,1,0.4128,ASTAR
22,96,8.727,4,1,0.4156,HILL
10,44,8.8,3,1,0.9778,ASTAR
13,49,7.538,3,1,0.6282,ASTAR
10,28,5.6,8,1,0.6222,ASTAR
21,33,3.143,5,1,0.1571,ASTAR
14,64,9.143,8,0,0.7033,DFS
13,31,4.769,3,1,0.3974,HILL
25,84,6.72,9,1,0.28,DFS
49,510,20.816,9,1,0.4337,ASTAR
38,341,17.947,10,1,0.4851,ASTAR
49,171,6.98,10,0,0.1454,DFS
23,182,15.826,4,1,0.7194,ASTAR
20,80,8.0,3,0,0.4211,BFS
36,496,27.556,10,1,0.7873,ASTAR
24,96,8.0,5,1,0.3478,ASTAR
24,259,21.583,5,0,0.9384,DFS
44,273,12.409,3,1,0.2886,HILL
14,20,2.857,3,1,0.2198,HILL
46,988,42.957,5,1,0.9546,ASTAR
29,386,26.621,7,1,0.9507,ASTAR
41,488,23.805,2,0,0.5951,BFS
30,338,22.533,5,0,0.777,DFS
46,646,28.087,1,1,0.6242,ASTAR
21,140,13.333,9,1,0.6667,ASTAR
21,169,16.095,7,1,0.8048,ASTAR
40,395,19.75,7,1,0.5064,ASTAR
16,35,4.375,6,1,0.2917,ASTAR
28,366,26.143,7,0,0.9683,DFS
30,158,10.533,6,0,0.3632,HILL
42,42,2.0,9,1,0.0488,DFS
22,153,13.909,6,1,0.6623,ASTAR
13,38,5.846,5,0,0.4872,HILL
41,164,8.0,1,0,0.2,BFS
29,310,21.379,1,1,0.7635,ASTAR
17,75,8.824,2,0,0.5515,BFS
28,287,20.5,5,1,0.7593,ASTAR
40,288,14.4,8,0,0.3692,DFS
48,1087,45.292,3,0,0.9637,BFS
36,383,21.278,9,1,0.6079,ASTAR
28,179,12.786,10,1,0.4735,ASTAR
38,588,30.947,8,1,0.8364,ASTAR
44,429,19.5,8,1,0.4535,ASTAR
25,220,17.6,4,1,0.7333,ASTAR
40,761,38.05,7,1,0.9756,ASTAR
19,144,15.158,1,0,0.8421,BFS
47,725,30.851,2,1,0.6707,ASTAR
39,53,2.718,3,1,0.0715,HILL
19,37,3.895,8,1,0.2164,DFS
35,116,6.629,6,1,0.195,ASTAR
50,1048,41.92,9,0,0.8555,DFS
25,171,13.68,4,0,0.57,BFS
16,112,14.0,2,1,0.9333,ASTAR
29,42,2.897,1,1,0.1034,HILL
28,210,15.0,6,1,0.5556,ASTAR
43,463,21.535,10,0,0.5127,DFS
15,92,12.267,7,0,0.8762,DFS
47,339,14.426,4,1,0.3136,HILL
39,299,15.333,1,1,0.4035,HILL
44,204,9.273,2,1,0.2156,HILL
47,658,28.0,7,1,0.6087,ASTAR
29,129,8.897,7,1,0.3177,ASTAR
34,400,23.529,10,1,0.713,ASTAR
28,38,2.714,7,1,0.1005,ASTAR
13,75,11.538,5,0,0.9615,ASTAR
24,185,15.417,4,1,0.6703,ASTAR
18,41,4.556,1,1,0.268,HILL
12,48,8.0,6,0,0.7273,ASTAR
30,411,27.4,7,0,0.9448,DFS
44,940,42.727,6,1,0.9937,ASTAR
26,271,20.846,5,1,0.8338,ASTAR
39,115,5.897,3,0,0.1552,BFS
35,408,23.314,2,1,0.6857,ASTAR
44,169,7.682,8,1,0.1786,DFS
26,324,24.923,7,1,0.9969,ASTAR
24,143,11.917,1,1,0.5181,HILL
24,188,15.667,2,1,0.6812,ASTAR
29,360,24.828,7,0,0.8867,DFS
